id,pitch_line,claim_verbatim,type,anchor_source,triage,verdict,check_result,recommended_edit
C11,126,"Saturn capture (low-thrust) ~1.0 km/s",dv,"titan-2 R-saturn-soi 1b1b889",supporting,MARGINAL,"titan-2 set Saturn CAPTURE at 0.8 km/s for an eccentric sub-D-ring SOI (apoapsis 3x r_titan). Pitch's 1.0 is close IF capture is into an eccentric orbit. But see C13: pitch later puts the ship in a CIRCULAR B-ring orbit, which is inconsistent with cheap capture.",footnote: 1.0 km/s assumes eccentric capture orbit (titan-2 0.8); inconsistent with circular-ring-orbit framing in step 3
C12,128,"Saturn departure (low-thrust) ~1.5 km/s chunk-fed",dv,"unsourced pitch internal",load-bearing,FAIL,"INDEFENSIBLE. From a circular B-ring orbit (v_circ 18 km/s) escape alone is 7.5 km/s impulsive. Campaign anchors: 5.5 km/s (titan-2) to 7.7 km/s (titan-3 vis-viva). 1.5 is 4-5x too low and contradicts pitch's own ~17 km/s orbital velocity (C09).",correct-in-place: 5.5-7.7 km/s impulsive (much higher continuous); this is the single worst number in the pitch
C13,137,"Inbound chunk-fed dv ~4.2 km/s; Tsiolkovsky closes at ~54% delivery @Isp 700s (66% @1000, 70% @1200)",delivered_fraction,"pitch internal Tsiolkovsky",load-bearing,FAIL,"Reproduces exactly at face value (exp(-4.2/6.865)=54.2%). But 4.2 km/s inbound depends on the indefensible 1.5 km/s departure (C12). Fix departure to 7.7 -> inbound 10.4 km/s -> 22% delivered. Add continuous-thrust accounting -> 8-28% (Isp 1000-2000). Surviving-cell delivered fraction is 17-28% (titan-2 Block-4 21.8%, Option A 17%), NOT 54%.",replace: delivered fraction 17-28%; SAME ROOT ERROR as retired P-1 75% (impulsive + low Saturn-side anchor). BLOCKED for exact framework number (R-framework-matrix-parity)
C14,130,"Lunar-gravity-assist tour 2-3 flybys ~2.5-3.5 km/s free",dv,"LGA literature; pitch footnote ^lganodes",supporting,SURVIVE-CONDITIONAL,"LGA can subtract ~1 km/s per flyby; 2-3 flybys ~2-3 km/s is within literature (Folta&Beckman). Defensible but conditional on favorable nodal geometry (pitch footnotes this honestly).",none
C15,145,"~1 kWe per ~25 t delivered chunk over 7-yr coast",power,"pitch internal sizing",supporting,BLOCKED,"Power-per-chunk sizing depends on thrust profile + Isp; framework-replay needed. Plausible order-of-magnitude but unverified here.",blocked: verify against framework once R-framework-matrix-parity lands
C16,145,"At 9 AU solar flux is 1.1% of Earth-equivalent",ratio,"inverse-square law",supporting,SURVIVE,"1/9.5^2 = 1.1%. Correct.",none
C17,149-151,"Kilopower 1-10 kWe -> 50t; FSP ~40 kWe -> 100-200t; sub-MW 100-500 kWe -> 500-1000t",power+mass,"reactor roadmap; locked beliefs",load-bearing,FAIL-FLAGGED,"Chunk-size-to-power mapping; 500-1000t row falsified (C03). Kilopower->50t is the only floor-defensible row; FSP not awarded (locked belief ed9..); chunk cap <=200t.",replace-framing: present Kilopower 50t as floor, FSP/MW as unfunded upside; cap at 200t
C18,176-180,"Panama ~$11B/~$3B-yr tolls; Suez ~$3.5B/~$8B-yr; ICEBERG ~$1B max committed, 11 yr",cost+time,"infrastructure comparables",supporting,SURVIVE,"Canal cost/toll figures are right order-of-magnitude. ICEBERG $1B max committed is the pitch's own bet figure (C28).",none
C19,185,"Cassini 9+7+13; JWST 24 yr concept-to-first-light",time,"mission history",supporting,SURVIVE,"Cassini dev ~9 yr, 7 yr cruise, 13 yr ops — correct. JWST ~1996-2022 first light ~24 yr — correct.",none
C20,207,"Steady-state ~$0.5-0.7B/yr at ~30% net margin",cost,"era table downstream",supporting,FAIL-DEPENDENT,"Depends on delivered-fraction (C13) and chunk-cap (C03). If delivered fraction is 17-28% not 54%, per-ship revenue and run-rate scale down ~2x.",blocked-on C13 refresh: revenue rounds re-run is separate SCOPE (M-3)
C21,229,"Lunar surface->LEO ~4.6 km/s with aerobraking (1.87+5.93-3.2)",dv,"Wikipedia dv-budget table",load-bearing,SURVIVE,"Arithmetic 1.87+5.93-3.2=4.60 correct. This is the ALREADY-FIXED P-2 (was 6 km/s). Defensible.",none (P-2 resolved)
C22,229,"Saturn ring->LEO ~1.5 km/s chunk-fed-spiral Saturn-departure",dv,"references C12",load-bearing,FAIL,"Same indefensible 1.5 km/s as C12. The lunar-vs-ICEBERG dv comparison rests on this; with correct 5.5-7.7 the per-tonne dv argument weakens (punch-list P-2 warned: do not argue on per-tonne dv).",replace-framing: argue on source-concentration (98% vs single-digit %, reason 2) not per-tonne dv; fix 1.5->5.5-7.7
C23,231,"B-ring particles ~98% water ice; lunar polar single-digit wt%",ratio,"Cassini; locked belief c646..",load-bearing,SURVIVE,"Locked belief: B-ring 99.7-99.8% by volume, >99%. Lunar polar 1-6 wt%. Concentration ratio 16-98x. Pitch's 98% is conservative-correct. (P-2 reason-2 framing, H3.)",optional: cite 99% (locked belief) instead of 98%
C24,234,"Lunar-ISRU LEO delivered $800-1500/kg planning band",cost,"planning assumption",supporting,UNSOURCED,"No source; speculative 2040s lunar-ISRU cost. Acknowledged as 'planning band'. Cannot verify.",footnote: flag as unsourced planning assumption
C25,250,"Floor pricing $500/kg: per-ship $25M(50t)/$100M(200t)/$250M(500t)",cost,"floor-price arithmetic",supporting,SURVIVE,"50000x500=$25M; 200000x500=$100M; 500000x500=$250M. Arithmetic correct. Honestly notes 50t doesn't close on bulk alone.",none
C26,273,"Program worth ~$12-24B conservative; $50-200B with induced demand",cost,"perpetuity sketch",load-bearing,FAIL-DEPENDENT,"Downstream of delivered-fraction + chunk-cap + reactor availability. iapetus established program-class is sub-sovereign-bond at conservative anchors (reader-notes). $12-24B floor is contested by iapetus L0-24.",blocked: reconcile with iapetus staged-options ($80M tranche-1 expected loss framing); separate from arithmetic audit
C27,275,"Demand 250-1000 t/yr by 2045 vs <50 t/yr today = 5-20x",ratio,"induced-demand BOE",supporting,SURVIVE,"Internally consistent BOE; honestly labeled as the demand bet. Arithmetic OK; assumptions explicit.",none
C28,289-296,"Max loss $1.0B; V $12-24B; p 0.50; EV $5.5-11.5B; 12-24x asymmetric",cost+prob,"bet-shape box",load-bearing,FAIL-DEPENDENT,"p x V = 6-12B; (1-p) x L = 0.5B; net 5.5-11.5B; ratio 12-24x — arithmetic internally correct. BUT V ($12-24B) is contested (C26) and p=0.50 is asserted. iapetus L0-24 + 0-of-6 reactor base rate make the unconditional p far below 0.50 for a commercial-class first ship.",footnote: V and p both contested by iapetus rounds; box is arithmetically right on wrong inputs
C29,312-315,"Gate A yr1.5, B yr3, C yr5, D yr2-8; ship3 yr6, first delivery yr18, moat yr11",time,"campaign schedule",supporting,SURVIVE,"Internally consistent schedule. 6.1 outbound + ~0.5 Saturn + 7 inbound ~13.6 yr matches.",none
C30,329-334,"Flight costs: $80M / $180M / $460M / $280M / $260M",cost,"campaign cost table",supporting,SURVIVE-ASSERTED,"Order-of-magnitude plausible for tug-class missions; not independently derivable here. Self-consistent with bet-stage box (C28 fold costs).",none
C31,340,"Bag NRE ~$50-100M through Gate A; 30-50% reusable",cost,"NRE stress",supporting,SURVIVE-ASSERTED,"Asserted engineering-judgment; flagged as Gate-A-review-not-paper. Acceptable as bounded estimate.",none
C32,352,"water-MET ionizes water vapor directly; no electrolysis",qualitative,"propulsion physics",load-bearing,SURVIVE,"Qualitatively correct: MET resonant-cavity heats/ionizes water vapor; no electrolysis needed. (Isp ceiling is the separate bet-#2 issue, not arithmetic.)",none
C33,362,"Stream 3: Saturnian-ring science samples, NASA/ESA/JAXA, First-and-only access",revenue,"belief 8176e23b; P-5",load-bearing,FAIL-FRAMING,"P-5. No precedent for science-allocation prebuy (gap-filler found none). §4/§7 already label speculative + not-in-table. §6 over-bills it as a co-equal revenue stream. Hardware-contribution consortium (Cassini-Huygens, BepiColombo) is the precedented analogue.",replace-framing: reconcile §6 with §4/§7 hedge; recast as hardware-contribution consortium (option c) OR mark new-deal-class
C34,540,"Falcon Heavy ~$1400/kg, Falcon 9 ~$2800/kg, ISS-CRS ~$25000/kg, Starship ~$200/kg target",cost,"[^launchprice]",supporting,SURVIVE,"All four within public figures. Starship correctly labeled 'target, not operational'.",none
C35,538,"B-ring ~98% water ice (footnote ^bring)",ratio,"Cassini",supporting,SURVIVE,"Consistent with C23 / locked belief (>99% by volume). 98% conservative.",optional: 99% per locked belief
